No.,Name,Position X,Position Y,Position Z,
0,Point01,-12.596687,206.843517,-1.375876,
1,Point02,-22.207573,190.197566,-2.268610,
2,Point03,-27.610862,171.050032,-3.060510,
3,Point04,-32.962049,151.955779,-4.168710,
4,Point05,-36.990947,132.578491,-5.641813,
5,Point06,-40.184824,113.051341,-5.719293,
6,Point07,-43.313694,93.638080,-5.213824,
7,Point08,-45.780731,73.992553,-4.511942,
8,Point09,-46.868517,54.109307,-3.367153,
9,Point10,-47.455450,34.246743,-2.860421,
10,Point11,-47.466659,14.530117,-2.286725,
11,Point12,-47.934222,-5.249479,-2.099318,
12,Point13,-47.699953,-25.178046,-0.976319,
13,Point14,-47.557246,-45.082727,0.041081,
14,Point15,-46.707888,-64.670718,1.017453,
15,Point16,-45.881354,-84.314735,1.280795,
16,Point17,-44.936968,-104.037674,2.007351,
17,Point18,-44.672758,-123.971207,2.277806,
18,Point19,-43.358954,-143.579194,2.150894,
19,Point20,-42.641272,-163.230364,1.758846,
20,Point21,-41.548371,-183.119788,1.977398,
21,Point22,-38.558364,-202.439911,2.864584,
22,Point23,-32.817280,-202.824209,2.674474,
23,Point24,-26.925188,-202.311514,1.973231,
24,Point25,-20.992141,-201.720048,1.736707,
25,Point26,-15.038112,-201.195341,1.749245,
26,Point27,-9.100271,-200.512891,1.516065,
27,Point28,-3.128066,-200.355147,1.215578,
28,Point29,3.441972,-200.734457,1.151571,
29,Point30,9.867342,-201.581131,0.553704,
30,Point31,16.429042,-201.914912,1.019955,
31,Point32,22.718750,-203.203455,1.340762,
32,Point33,29.068989,-204.553271,2.174607,
33,Point34,35.573502,-204.631148,2.117389,
34,Point35,39.247771,-185.000202,2.174345,
35,Point36,39.941558,-164.895292,2.759515,
36,Point37,40.810947,-144.690204,2.158452,
37,Point38,40.708485,-124.787278,1.863762,
38,Point39,40.869236,-105.027138,1.879276,
39,Point40,40.924000,-84.992087,1.492062,
40,Point41,40.861493,-65.274135,1.033567,
41,Point42,39.999188,-45.167122,0.144444,
42,Point43,38.785505,-25.032586,-0.110109,
43,Point44,37.856651,-4.966170,-0.343825,
44,Point45,35.641558,15.084816,0.314008,
45,Point46,33.699749,35.098521,-0.950818,
46,Point47,31.807507,54.754642,-1.384949,
47,Point48,30.087620,74.854648,-2.079526,
48,Point49,26.407133,94.634233,-2.206166,
49,Point50,23.101891,114.414668,-2.353788,
50,Point51,18.535271,134.034028,-2.550003,
51,Point52,12.010046,153.185642,-2.177728,
52,Point53,6.017786,172.259229,-0.716043,
53,Point54,-2.493684,190.177663,-0.853510,
