"specimen","trinomial","sitename","t.context","context","temporal"
"489","16RR1","Gahagan Mound","subsequent","cache",2
"490","16RR1","Gahagan Mound","subsequent","cache",2
"532","16RR1","Gahagan Mound","subsequent","cache",2
"533","16RR1","Gahagan Mound","subsequent","cache",2
"541","16RR1","Gahagan Mound","subsequent","cache",2
"542","16RR1","Gahagan Mound","subsequent","cache",2
"543","16RR1","Gahagan Mound","subsequent","cache",2
"544","16RR1","Gahagan Mound","subsequent","cache",2
"545","16RR1","Gahagan Mound","subsequent","cache",2
"546","16RR1","Gahagan Mound","subsequent","cache",2
"547","16RR1","Gahagan Mound","subsequent","cache",2
"548","16RR1","Gahagan Mound","subsequent","cache",2
"549","16RR1","Gahagan Mound","subsequent","cache",2
"550","16RR1","Gahagan Mound","subsequent","cache",2
"551","16RR1","Gahagan Mound","subsequent","cache",2
"605","16RR1","Gahagan Mound","initial","cache",1
"606","16RR1","Gahagan Mound","initial","cache",1
"607","16RR1","Gahagan Mound","initial","cache",1
"608","16RR1","Gahagan Mound","initial","cache",1
"609","16RR1","Gahagan Mound","initial","cache",1
"610","16RR1","Gahagan Mound","initial","cache",1
"611","16RR1","Gahagan Mound","initial","cache",1
"612","16RR1","Gahagan Mound","initial","cache",1
"613","16RR1","Gahagan Mound","initial","cache",1
"614","16RR1","Gahagan Mound","initial","cache",1
"622","16RR1","Gahagan Mound","initial","cache",1
"4078-11","41CE19","George C Davis","initial","cache",1
"4078-12","41CE19","George C Davis","initial","cache",1
"4078-13","41CE19","George C Davis","initial","cache",1
"4078-14","41CE19","George C Davis","initial","cache",1
"4078-14B","41CE19","George C Davis","initial","cache",1
"4078-22","41CE19","George C Davis","initial","cache",1
"4078-30","41CE19","George C Davis","initial","cache",1
"4078-32","41CE19","George C Davis","initial","cache",1
"4078-45","41CE19","George C Davis","initial","cache",1
"4078-72","41CE19","George C Davis","initial","cache",1
"4078-8","41CE19","George C Davis","initial","cache",1
"4078-9","41CE19","George C Davis","initial","cache",1
"424-169","41CE19","George C Davis","subsequent","cache",2
"424-218","41CE19","George C Davis","subsequent","cache",2
"424-221","41CE19","George C Davis","subsequent","cache",2
"424-230","41CE19","George C Davis","subsequent","cache",2
"424-33","41CE19","George C Davis","subsequent","cache",2
"424-39","41CE19","George C Davis","subsequent","cache",2
"424-40","41CE19","George C Davis","subsequent","cache",2
"424-41","41CE19","George C Davis","subsequent","cache",2
"424-50","41CE19","George C Davis","subsequent","cache",2
"424-53","41CE19","George C Davis","subsequent","cache",2
"463-1","41CE19","George C Davis","subsequent","cache",2
"463-23","41CE19","George C Davis","subsequent","cache",2
